grk_names	eng_names	ref_names	asm_names	ben_names	guj_names	kan_names	mal_names	hin_names	mar_names	pun_names	odi_names	tam_names	tel_names	urd_names
2857	colossae							कालीज़ीयम	कलस्सैकरांस					
2879	korah													
2881	corinth				કરિંથીઓ		കുരിന്ത്യർ	कुरिन्थवासी	करिंथकर					
2882	corinth				કરિંથ		കൊരിന്ത്	कुरिन्थुस	करिंथ					
2883	cornelius				કર્નેલીયસ 			कुरनेलियुस	कर्नेल्य					
2912	crete				ક્રીત			क्रेती	क्रेतीय					
2914	crete				ક્રીત		ക്രേത്തദ്വീപ്, ക്രേത്ത	क्रेते	क्रेते					
2953	cyprus				સાયપ્રસ		കുപ്രൊസ്കാർ	साइप्रस	सायप्रस					
2954	cyprus				સાયપ્રસ		കുപ്രൊസ്	साइप्रस	सायप्रस					
2956	cyrene				કુરેની			कुरेनी	कुरेनेकर					
2957	cyrene				કુરેની			कुरेने	कुरेने					
2976	lazarus				લાજરસ 		ലാസർ	लाज़र	लाजर					
2984	lamech				લામેખ		ലാമേക്ക്	लेमेक‍	लमेक					
3017	matthew				લેવી 		ലേവി	लेवी	लेवीय					
3019	levite				લેવી 		ലേവ്യന്‍	लेवी	लेवी					
3020	levite													
3041	seaofgalilee							झील	सरोवर					
3065	luke				લૂક 		ലൂക്കോസ്	लूका	लुक					
3082	lystra				લુસ્ત્રા 		ലുസ്ത്ര	लुस्त्रा	लुस्त्रा					
3091	lot				લોત		ലോത്ത്	लूत	लोट					
3099	midian						മിദ്യാന്‍	मिद्यान						
3109	macedonia				મકદોનિયા		മക്കെദോന്യ	मकिदुनिया	मासेदोनिया					
3110	macedonia				મકદોનિયા 		മക്കെദോന്യർ	मकिदुनी	मासेदोनियाचा पुरुष					
3128	manasseh				મનાશ્શા 		മനശ്ശെ	मनश्शे	मनश्शे					
3136	martha				માર્થા 		മാർത്ത	मार्था	मार्था					
3137	mary				મરિયમ		മറിയ	मरियम	मरिया					
3138	johnmark				માર્ક 		മർക്കോസ്	मरकुस	मार्क					
3156	matthew				માથ્થી 		മത്തായി	मत्ती	मत्तय					
3198	melchizedek				મલ્ખીસદેક		മല്‍ക്കീസദേക്ക്	melchizedek	मलकीसदेक 					
3318	mesopotamia						മെസപ്പൊത്താമ്യ							
3370	mede				માદી		മേദ്യ	मेदी	मेदी					
3413	michael													
3434	molech				મોલોખ		മൊലോക്ക്	मोलेक						
3475	moses				મૂસા		മോശെ	मूसा	मोशे					
3478	nazareth				નાસરેથ 		നസ്റേത്ത്	नासरत	नासरेथ					
3479	nazareth				નાઝારી 		നസ്റേത്ത്കാരന്‍	नासरी	नासोरी					
3480	nazareth				નાઝારી 		നസ്റേത്ത്കാരന്‍	नासरी	नासोरी					
3481	nathan						നാഥാന്‍							
3493	nahor						നാഹോർ							
3497	naaman				નામાન		നയമാൻ	नामान	नामान					
3508	naphtali				નફતાલી		നഫ്താലി	नप्ताली	नफताली 					
3536	nineveh				નિનવે 		നിനവേക്കാർ	नीनवे के लोगों	निनवेचे लोक 					
3575	noah				નૂહ		നോഹ	नूह	नोहा					
3604	uzziah				 ઉઝિયા		ഉസ്സിയാവു	उज्जियाह	उज्जीया					
3774	uriah				ઉરિયા		ഊരീയാവ്	ऊरिय्याह	उरीया					
3972	paul				પાઉલ		പൗലൊസ്	पौलुस	पौल					
4074	peter				પિતર		പത്രൊസ്	पतरस	पेत्र					
4091	pilate				પિલાત		പീലാത്തൊസ്	पिलातुस	पिलात					
4193	pontus						പൊന്തൊസ്	पुन्तुस						
4195	pontus				પોન્તસ 			पुन्तुस	पंत					
4251	priscilla				પ્રિસ્કા 		പ്രിസ്ക	प्रिस्का	प्रीस्का					
4252	priscilla				પ્રિસ્કીલા 		പ്രിസ്കില്ല	प्रिस्किल्ला	प्रीस्कील्ला					
4460	rahab				રાહાબ		രഹാബ്	राहाब	राहाब 					
4471	ramah				રામા 		രാമ	राम अ	रामा					
4477	rahab				રાહાબ		രാഹാബ്	राहाब	राहाब 					
4478	rachel				રાહેલ 		റാഹേല്‍	राहेल	राहेल					
4479	rebekah						റിബേക്ക							
4497	rehoboam				રહાબામ		രെഹബ്യാം	रहबाम	रहबाम 					
4502	reuben				રુબેન 		രൂബേന്‍	रूबेन	रऊबेन 					
4503	ruth				રૂથ		രൂത്ത്	रूत	रुथ					
4514	rome				રોમન 		റോമക്കാർ	रोमी	रोमन					
4516	rome				રોમ		റോമ	रोम	रोम					
4524	zadok				સાદોક 		സാദോക്ക്	सादोक	सादोक					
4540	samaria				સમરુન 		ശമര്യ	सामरिया	शोमरोन					
4541	samaria				સમરુનીઓ  		ശമര്യ	सामरियों	शोमरोनकर 					
4542	samaria				સમરુન 		ശമര്യർ	सामरी	शोमरोनी					
4545	samuel				શમુએલ		ശമുവേല്‍	शमूएल	शमुवेल					
4546	samson						ശിംശോന്‍							
4564	sarah				સારા		സാറ	सारा	सारा					
4569	paul				શાઉલ		ശൗല്‍	शाऊल	शौल					
4575	caesar				ફિલિપ્પીઓ		കൈസർ	फिलिप्पियों	फिलीपै 					
4589	seth						ശേത്ത്							
4590	shem						ശേം							
4605	sidon				સિદોન		സീദോന്‍	सीदोन	सिदोन					
4606	sidon				સિદોન		സീദോന്‍	सीदोन	सिदोन					
4609	silas				સિલાસ		ശീലാസ്	सीलास	सीला					
4610	silas				સિલ્વાનુસ		സില്വാനൊസ്	सिलवानुस	सिल्वान					
4613	peter				સિમોન		ശിമോൻ	शमौन	शिमोन					
4670	sodom				સદોમ		സൊദോം	सदोम	सदोम					
4672	solomon				સુલેમાન		ശലോമോൻ	सुलैमान	शलमोन					
4736	stephen				સ્તેફન		സ്തെഫാനൊസ്	स्तिफनुस	स्तेफन					
4826	simeon				સિમોન		ശിമ്യോൻ	शमौन	शिमोन					
4947	syria				સિરિયા		സോർ	सीरिया	सुरिया					
4948	syria				સિરિયા			सीरिया	सुरिया					
4966	shechem				શખેમ		ശെഖേം	शकेम	शखेम					
5018	tarsus				તાર્સસ			तरसुस	तार्सस					
5019	tarsus				તાર્સસ			तरसुस	तार्सस					
5095	timothy				તિમોથી		തിമൊഥെയൊസ്	तीमुथियुस	तीमोथी					
5103	titus				તિતસ		തീതൊസ്	तीतुस	तीत					
5174	troas				ત્રોઆસ		ത്രോവാസ്	त्रोआस	त्रोवास					
5183	tyre				તૂર									
5184	tyre				સુઆરનો 			सोर	सोर					
5190	tychicus				તુખીકસ 			तुखिकुस	तुखिक					
5328	pharaoh				ફારુન			फ़िरौन	फारो					
5374	philippi				પ્રચાર			प्रचार	प्रसार					
5375	philippi				ફિલિપ્પી		ഫിലിപ്പി	फिलिप्पी	फिलीपैकरांस					
5376	philip				ફિલિપ 		ഫിലിപ്പൊസ്	फिलिप्पुस	फिलिप्प 					
5403	phonecia				ફિનીકિયા 		ഫൊയ്നീക്ക്യ	फीनीके	फेनिके					
5466	chaldeans				કાસ્દીઓના 			कसदियों	गारदी					
5477	canaan				કનાન			कनान	कनान					
5478	canaan													
5488	haran													
5617	hosea				હોશિયા			होशे	होशे					
