asm_stopwords	ben_stopwords	guj_stopwords	hin_stopwords	kan_stopwords	mal_stopwords	mar_stopwords	odi_stopwords	pun_stopwords	tam_stopwords	tel_stopwords	urd_stopwords	grk_stopwords	heb_stopwords	eng_stopwords
														is
														was
														were
														am
